-467521,-224127,-685990,-804259,-583905|-106041|-355225|-317055|-110749|-603728|-32903|-657110|-186767|-759375|-979239|-408547|-440919|-218001|-859759|,-986614|-759976|-180916|-23|-520109|-391635|-698337|-506889|-958376|-292568|-32312|-554853|-855651|-469074|-626804|,-231858|-873841|-460302|-888904|-786934|-797298|-396318|-345459|-18932|-415455|-475554|-378069|-660223|-905076|-354135|,-945947|-399503|-77764|-872188|-357057|-871511|-459155|-25870|-252530|-966854|-797303|-272622|-289015|-115388|-148378|,-208489|-360315|-16302|-310799|-976344|-438310|-637785|-47480|-384227|-729167|-384199|-68749|-584416|-577423|-891457|,-482259|-178248|-515185|-66578|-973992|-721595|-79557|-558003|-297429|-467193|-936084|-723864|-8989|-317881|-946925|,-303244|-465800|-152087|-654671|-589545|-773342|-414839|-789944|-4978|-793843|-502921|-311911|-668789|-294532|-487005|,-667000|-398542|-893834|-38576|-329205|-675147|-745067|-24349|-624521|-334046|-818283|-239470|-412243|-633279|-347007|,-504003|-666252|-816789|-213879|-550636|-434327|-952229|-72925|-501217|-591000|-970130|-192364|-143010|-821376|-801906|,-849548|-970062|-643597|-136110|-440268|-633457|-658651|-620506|-767672|-885291|-832693|-382789|-971609|-415382|-917834|,-981761|-99221|-714768|-176242|-403391|-365186|-215614|-248773|-222185|-855656|-734439|-426711|-218514|-512225|-883781|,-982623|-74289|-821394|-892702|-812328|-875962|-939076|-493520|-734030|-379379|-163694|-980753|-619216|-803067|-474212|,1045,311423,16439,1045,49055046048049000000000000000000000000001043,50051054049057046049051000000000000000001043,48046048053000000000000000000000000000001043,48046048051000000000000000000000000000001043,79000000000000000000000000000000000000001043,80000000000000000000000000000000000000001043,49057057054045048051045049052000000000001043,49057057054045048050045049051000000000001043,49057057054045048051045050051000000000001043,68069076073086069082032073078032080069083127,84082085067076000000000000000000000000001043,101103117108097114032099111117114116115033141,1
-301613,-862218,-633637,-407850,-661139|-850161|-660087|-94312|-198553|-870226|-213258|-639641|-169096|-143390|-535085|-515203|-469635|-83074|-605095|,-945342|-583747|-323274|-858025|-939506|-183620|-387614|-640068|-296118|-286553|-384223|-274097|-710149|-556435|-530161|,-579950|-171882|-79037|-550439|-231789|-292281|-989745|-707530|-329545|-308507|-690531|-654014|-467800|-879863|-721394|,-899626|-162945|-68169|-641606|-215254|-742096|-409397|-110815|-97559|-371324|-252981|-569369|-468668|-787160|-789134|,-437651|-275025|-404472|-386665|-443909|-564797|-698595|-87869|-436415|-595313|-986906|-978897|-406348|-503673|-749256|,-269495|-745638|-280309|-201543|-221397|-572920|-134369|-669196|-666357|-452509|-535631|-90033|-427292|-363632|-445559|,-132756|-55821|-848957|-784662|-872780|-968072|-263844|-244874|-978953|-301014|-401569|-497547|-930608|-355936|-464599|,-917514|-487710|-172303|-628898|-363972|-361872|-724782|-593037|-448881|-545741|-576806|-997208|-731421|-955558|-214540|,-744041|-588417|-933219|-569227|-603105|-813029|-465708|-41286|-969044|-266797|-258163|-791753|-551914|-29661|-327424|,-423231|-465341|-465391|-699174|-653927|-810703|-671007|-863254|-527616|-697663|-425026|-52123|-267393|-177014|-550169|,-650088|-550610|-165780|-76848|-764946|-687333|-413781|-624882|-192865|-271934|-909921|-509618|-614647|-387033|-773743|,-417061|-439340|-653791|-298915|-353208|-936561|-7493|-531741|-926346|-30024|-13625|-394739|-460216|-790027|-456690|,1045,135663,15664,1046,51054046048049000000000000000000000000001043,53057053050057046057055000000000000000001043,48046048058000000000000000000000000000001043,48046048055000000000000000000000000000001043,79000000000000000000000000000000000000001043,80000000000000000000000000000000000000001043,49057057054045048052045049051000000000001043,49057057054045048050045050057000000000001043,49057057054045048052045050049000000000001043,84065075069032066065067075032082069084086126,77065073077000000000000000000000000000001043,108121032102105110097108032100101112101111144,2
-529980,-242247,-14044,-751105,-970428|-798651|-497825|-164826|-645037|-266100|-723453|-601356|-439820|-174729|-84113|-642805|-318083|-233206|-130909|,-497086|-650688|-227135|-771702|-311890|-472680|-316131|-466366|-75097|-641395|-813532|-172443|-200271|-835777|-101421|,-510849|-138111|-507970|-633618|-292016|-112631|-826756|-247480|-622529|-551642|-535476|-501375|-811830|-575233|-193979|,-620221|-840651|-997464|-861849|-696527|-564368|-763057|-880037|-973565|-313643|-92652|-464241|-430819|-940297|-522160|,-204499|-769912|-925061|-962632|-983558|-647847|-575960|-176071|-377901|-168323|-355491|-403787|-520109|-643096|-367707|,-887609|-610217|-303580|-819025|-584647|-484420|-801989|-385629|-594252|-445846|-302772|-44838|-771476|-437578|-136015|,-971591|-799910|-302914|-552669|-378366|-663873|-352967|-234786|-767371|-595172|-519740|-786264|-625877|-10115|-937802|,-205645|-555361|-148519|-633429|-972793|-491908|-493009|-173625|-673130|-281099|-212952|-209945|-550040|-457772|-300150|,-648903|-597457|-712212|-396986|-489437|-419268|-737265|-255656|-473460|-311962|-158494|-823207|-35398|-502907|-179532|,-342267|-360327|-449822|-770516|-381492|-86114|-679446|-84831|-982756|-739566|-262769|-754268|-800652|-91217|-801920|,-178886|-404887|-38524|-79403|-749410|-351335|-246737|-658336|-531165|-352472|-767846|-863709|-346725|-640384|-740511|,-784998|-143929|-902547|-476086|-136463|-926343|-567631|-571523|-368572|-172804|-523885|-165520|-121335|-538350|-777304|,1045,128444,8445,1047,56046048049000000000000000000000000000001043,49049052049057046050049000000000000000001043,48046049049000000000000000000000000000001043,48046048051000000000000000000000000000001043,79000000000000000000000000000000000000001043,80000000000000000000000000000000000000001043,49057057054045048049045050058000000000001043,49057057054045048051045048054000000000001043,49057057054045048049045051050000000000001043,84065075069032066065067075032082069084086126,82069071032065073083000000000000000000001043,114105111117115108121046032114101103117109141,3
-122372,-677300,-873759,-746521,-874738|-936133|-772352|-168786|-379369|-929383|-17759|-685|-664984|-642199|-285597|-831012|-570329|-609596|-311191|,-165750|-21182|-481624|-603428|-784686|-151768|-473606|-733803|-362987|-719376|-363955|-24696|-661897|-631690|-470324|,-375549|-643606|-471617|-407723|-961339|-56675|-520794|-841705|-176501|-356625|-597035|-545496|-566716|-263415|-672266|,-178265|-904333|-395576|-634291|-878505|-466145|-487066|-278159|-821448|-9207|-625643|-891386|-100264|-114814|-867649|,-200623|-868081|-168702|-263373|-617813|-216924|-358541|-405764|-470599|-37607|-776722|-122471|-176753|-819170|-268981|,-128245|-369606|-186215|-818021|-199228|-869061|-678311|-81093|-136166|-838958|-423710|-822324|-94544|-143202|-89640|,-664301|-298956|-130628|-811999|-690688|-492001|-647782|-416434|-138533|-249114|-800782|-188327|-601771|-795411|-545023|,-836784|-895594|-78120|-262417|-505543|-807798|-659721|-693342|-627095|-54923|-349762|-864081|-47192|-820262|-267197|,-385297|-859623|-796359|-374709|-125081|-811302|-500097|-333075|-336494|-954247|-762135|-289062|-329154|-133803|-445876|,-151507|-826369|-207933|-42855|-924082|-259372|-835034|-179989|-932275|-257076|-524514|-377409|-856147|-516683|-872953|,-630824|-899381|-200208|-16605|-401751|-24215|-927108|-865528|-821776|-59262|-351992|-247671|-342648|-566702|-219895|,-359029|-403486|-641075|-722117|-93016|-131645|-364528|-15616|-151436|-980815|-340793|-4298|-976421|-234301|-170281|,1045,5307,10308,1048,50056046048049000000000000000000000000001043,51050054056051046050057000000000000000001043,48046048058000000000000000000000000000001043,48046048055000000000000000000000000000001043,79000000000000000000000000000000000000001043,80000000000000000000000000000000000000001043,49057057054045048052045050050000000000001043,49057057054045048051045051049000000000001043,49057057054045048053045049055000000000001043,78079078070000000000000000000000000000001043,65073083000000000000000000000000000000001043,108105116101115046032102108117102102105109165,4
-132886,-728439,-358766,-430115,-475081|-607820|-919582|-358066|-812304|-504846|-831099|-282748|-117895|-702178|-62726|-710176|-720450|-640661|-88548|,-960957|-800788|-159988|-767649|-671153|-512805|-291692|-589120|-440584|-621111|-792824|-997963|-929631|-501141|-682113|,-596414|-421145|-99377|-563944|-904503|-42452|-905459|-725748|-16197|-273592|-695545|-282585|-873846|-84959|-785078|,-461881|-865388|-500334|-921097|-839732|-289718|-460836|-19336|-296527|-866125|-552520|-815570|-144151|-705038|-903716|,-889255|-622512|-796184|-159704|-582084|-781417|-253313|-177798|-913829|-773615|-561377|-345685|-414242|-210658|-422266|,-797865|-366503|-226500|-187522|-56752|-732728|-204941|-345615|-424496|-624998|-323101|-212447|-268891|-455405|-682825|,-647350|-749146|-578971|-858567|-36124|-635907|-395511|-685118|-369003|-966636|-676804|-559105|-938244|-358904|-879958|,-584117|-565366|-68807|-725979|-641113|-896956|-792396|-421651|-716610|-257890|-55627|-96538|-873189|-605488|-30950|,-942548|-57984|-948100|-982734|-705474|-150575|-240461|-900314|-638339|-46653|-807502|-937925|-639843|-659056|-994146|,-765789|-914752|-44365|-664500|-240283|-307667|-922648|-592176|-637266|-62991|-528117|-802953|-484889|-489401|-92267|,-726616|-50149|-122524|-858998|-342531|-72729|-809203|-627545|-791604|-771961|-340851|-760502|-507641|-279386|-97495|,-342470|-770277|-872672|-456551|-509834|-24844|-900148|-678260|-175801|-154551|-756987|-42651|-611213|-864390|-764983|,1045,49098,4105,1049,50052046048049000000000000000000000000001043,50052048052057046050049000000000000000001043,48046049049000000000000000000000000000001043,48046048053000000000000000000000000000001043,79000000000000000000000000000000000000001043,80000000000000000000000000000000000000001043,49057057054045048051045051049000000000001043,49057057054045048051045049053000000000001043,49057057054045048052045048050000000000001043,78079078070000000000000000000000000000001043,70079067000000000000000000000000000000001043,32112101110100105110103032102111120101116090,5
-15804,-321014,-317589,-348436,-745922|-338349|-447668|-383997|-385400|-892157|-63076|-225915|-708492|-809429|-959915|-411288|-444531|-141555|-261789|,-554717|-495273|-952237|-656230|-526412|-431516|-112677|-17345|-67790|-817605|-993747|-505148|-601310|-7878|-924099|,-346921|-671862|-563244|-812365|-543090|-64134|-309318|-487528|-304029|-848009|-953067|-166823|-415130|-124900|-652811|,-593158|-371868|-827521|-833366|-585298|-396777|-199589|-812020|-419610|-298341|-852760|-101614|-385745|-832957|-747165|,-869429|-403357|-289679|-935886|-30849|-619113|-30044|-972671|-853527|-808095|-563924|-536200|-629347|-4530|-76858|,-812152|-689908|-309783|-502259|-736804|-943160|-241171|-731249|-485304|-670714|-903215|-727543|-267332|-362684|-818889|,-834558|-798670|-5146|-310134|-652586|-158849|-951997|-251866|-970850|-22539|-860679|-405092|-902332|-849947|-9354|,-837550|-288747|-471007|-778866|-947849|-123129|-569489|-178891|-662968|-279785|-298168|-727561|-517686|-829171|-578999|,-347062|-178348|-566910|-35066|-681221|-888246|-901823|-889233|-906896|-763834|-482778|-322408|-81515|-499582|-82314|,-501385|-373588|-798361|-321079|-266828|-45928|-337425|-555467|-527988|-550682|-887526|-400014|-372268|-636043|-864455|,-852522|-831675|-346479|-343313|-695756|-810429|-519117|-1743|-783568|-547926|-565964|-629790|-21526|-122401|-849942|,-641012|-136295|-592721|-503537|-25017|-479867|-700702|-501574|-569896|-277856|-158960|-802762|-106989|-153420|-773529|,1045,32313,2316,1050,51050046048049000000000000000000000000001043,51056052048056046051051000000000000000001043,48046048056000000000000000000000000000001043,48046048051000000000000000000000000000001043,79000000000000000000000000000000000000001043,80000000000000000000000000000000000000001043,49057057054045048049045051049000000000001043,49057057054045048050045048056000000000001043,49057057054045048050045048052000000000001043,68069076073086069082032073078032080069083127,77065073077000000000000000000000000000001043,97114101102117108108121032115108121108122076,6
-317433,-2203,-48110,-95463,-585462|-535074|-411366|-847576|-842491|-347961|-684343|-851054|-313139|-459629|-942549|-271458|-647452|-887098|-892904|,-937642|-517001|-173195|-490455|-976122|-888644|-326260|-394914|-211421|-666869|-639422|-305186|-116148|-161208|-617115|,-288559|-219864|-704926|-503152|-841576|-717335|-42630|-244098|-2099|-60736|-665124|-213431|-375947|-142|-690194|,-240924|-873304|-607420|-834097|-323190|-33988|-12249|-955441|-980579|-158081|-338419|-796322|-800199|-659831|-146325|,-469390|-791311|-256619|-748436|-392275|-781838|-638834|-696516|-38567|-193517|-445624|-14323|-633202|-188416|-391532|,-940963|-339019|-656435|-614027|-588699|-677303|-352099|-703112|-493039|-995745|-126345|-569877|-102811|-979190|-464081|,-882183|-114629|-231181|-835577|-722888|-173691|-834642|-282670|-699186|-635388|-35514|-58367|-761913|-719016|-749232|,-23681|-79579|-161898|-16780|-86499|-373593|-745427|-3599|-459354|-516315|-718386|-832940|-281527|-673696|-407096|,-31674|-980173|-263507|-556687|-646213|-532162|-320074|-995596|-489547|-488038|-460351|-452244|-983827|-938874|-547819|,-783641|-576602|-46265|-824610|-163916|-41981|-773744|-841658|-226764|-952180|-674129|-368251|-463770|-142330|-958470|,-383467|-233493|-356480|-810193|-985701|-288786|-137292|-608603|-866291|-579747|-372177|-994311|-944811|-54271|-387079|,-311765|-946243|-710312|-532631|-66607|-953373|-337088|-331013|-612700|-613712|-292138|-33286|-628457|-183508|-479059|,1046,213384,3405,1045,51056046048049000000000000000000000000001043,52055053056056046053053000000000000000001043,48046048049000000000000000000000000000001043,48046048054000000000000000000000000000001043,79000000000000000000000000000000000000001043,80000000000000000000000000000000000000001043,49057057055045048049045050057000000000001043,49057057055045048049045049053000000000001043,49057057055045048050045048051000000000001043,84065075069032066065067075032082069084086126,82065073077000000000000000000000000000001043,118101110032114101113117101115116115046033144,7
-637005,-616209,-832966,-762889,-731413|-487884|-225664|-837513|-326446|-36925|-222749|-209690|-664741|-144378|-805365|-243568|-83817|-221952|-838512|,-572856|-425226|-476951|-316519|-245856|-77659|-637903|-747737|-130199|-472218|-715397|-180858|-256115|-589697|-347803|,-547080|-914609|-376720|-301120|-743166|-102980|-728287|-216179|-664775|-662556|-206117|-438800|-56018|-251405|-227533|,-746634|-98341|-328042|-9307|-472805|-911286|-607896|-909208|-111960|-65836|-405940|-448344|-99964|-173267|-760211|,-323228|-786578|-951807|-546772|-115548|-387032|-14526|-416205|-353880|-884803|-356708|-284300|-485157|-250699|-497524|,-656345|-395976|-174496|-643816|-57687|-218755|-362554|-131678|-5161|-837834|-308366|-8671|-3633|-44063|-950620|,-330946|-966721|-919354|-82648|-206817|-306703|-376498|-851381|-92018|-366788|-409847|-171120|-790058|-620047|-349817|,-992166|-136063|-461829|-128544|-242661|-597968|-628492|-785093|-601953|-112528|-601286|-773195|-781699|-834867|-914866|,-990842|-752918|-426119|-369740|-884448|-393872|-920563|-38821|-721862|-995246|-643050|-44208|-611919|-143999|-317962|,-668129|-860429|-866396|-879294|-988877|-5585|-245560|-953459|-910548|-225680|-981625|-20711|-889107|-384303|-468604|,-215683|-230330|-641329|-131683|-685487|-786887|-192873|-917233|-244535|-752943|-813291|-514201|-230077|-498962|-448309|,-762026|-142196|-42204|-760800|-953926|-233100|-510143|-137294|-105348|-536810|-466813|-689113|-362858|-557875|-804027|,1047,9638,4639,1045,52053046048049000000000000000000000000001043,54055054049054046053054000000000000000001043,48046048055000000000000000000000000000001043,48046048049000000000000000000000000000001043,83000000000000000000000000000000000000001043,71000000000000000000000000000000000000001043,49057057052045048050045048051000000000001043,49057057052045048049045048053000000000001043,49057057052045048050045050052000000000001043,78079078070000000000000000000000000000001043,65073083000000000000000000000000000000001043,111110103115105100101032111102032116104102076,8
-882095,-629931,-227877,-976952,-256108|-924224|-18233|-679034|-665374|-611953|-225288|-416712|-875105|-711198|-709994|-589787|-625020|-381967|-971951|,-313633|-584674|-395189|-238399|-681472|-790877|-347805|-157604|-204896|-960224|-800515|-931886|-303757|-299826|-870023|,-433913|-423923|-97446|-650864|-870402|-202672|-174967|-723358|-106978|-992475|-991430|-340043|-945380|-121838|-884921|,-358993|-566803|-289562|-505622|-384758|-435225|-218336|-271611|-614102|-566204|-504821|-5908|-518983|-475410|-946690|,-164814|735|-562853|-712118|-700693|-726683|-964136|-835506|-298602|-248251|-396988|-479819|-115246|-284453|-415|,-416911|-40511|-410069|-933297|-949918|-653891|-825000|-564388|-305242|-569696|-418068|-518080|-862682|-268053|-307769|,-701191|-857701|-550433|-525507|-911912|-534496|-450610|-699320|-650781|-173338|-206934|-4876|-364680|-750717|-197740|,-547494|-832509|-25903|-28566|-246912|-34462|-235897|-805100|-262353|-832985|-294558|-750760|-58921|-684529|-512370|,-804076|-855883|-117261|-204228|-625711|-918602|-441798|-69365|-513070|-614935|-201072|-835972|-671119|-702165|-812027|,-671016|-88315|-933452|-338762|-436369|-912091|-966422|-951063|-675157|-484617|-901802|-819816|-738277|-66872|-282221|,-623768|-452552|-187882|-970324|-439345|-48114|-626450|-959668|-450944|-104012|-405535|-404050|-675130|-575645|-580520|,-233762|-733946|-759983|-169392|-602525|-389329|-14770|-76236|-641566|-715467|-258916|-942217|-532433|-507638|-991762|,1047,39115,14119,1046,52057046048049000000000000000000000000001043,52057052052052046052052000000000000000001043,48046049049000000000000000000000000000001043,48046048049000000000000000000000000000001043,83000000000000000000000000000000000000001043,71000000000000000000000000000000000000001043,49057057051045049049045048058000000000001043,49057057051045049050045050049000000000001043,49057057051045049049045050053000000000001043,84065075069032066065067075032082069084086126,82065073077000000000000000000000000000001043,32117110117115117097108032097099099111118154,9
-772883,230644,-233926,-79793,-384609|-695743|-1458|-244278|-663957|-513331|-451570|-187266|-411140|-460043|-152889|-401627|-144949|-252001|-858725|,-496502|-122480|-828629|-374616|-808896|-399613|-232304|-611204|-572766|-541712|-483882|-973648|-862615|-793365|-948245|,-111631|-240785|-320607|-285910|-550189|-701980|-118574|-599894|-753561|-630656|-322299|-216597|-197215|-560226|-744331|,-628322|-960636|-641883|-488971|-107412|-471411|-656784|-449765|-710254|-412241|-334038|-44087|-498253|-694558|-705136|,-3605|-623723|-459332|-688678|-904597|-266301|-877376|-169389|-269013|-359072|-117802|-40171|-267991|-386866|-559010|,-347895|-814781|-207102|-67289|-818874|-873848|-965263|-214905|-156633|-380743|-874981|-950962|-573868|-311118|-51077|,-445464|-612854|-341629|-831838|-379994|-769555|-274685|-584661|-274908|-401160|-80615|-313686|-149016|-113958|-65837|,-266909|-618979|-376393|-415763|-813014|-551567|-572063|-343582|-138503|-613665|-903180|-128703|-984042|-317099|-806277|,-804574|-686342|-939071|-999350|-71811|-136401|-264343|-697304|-510855|-547001|-716627|-868732|-671737|-746234|-815897|,-545657|-585780|-74067|-170474|-717670|-377960|-96288|-465407|-567924|-677132|-421290|-505303|-589807|-930101|-179859|,-973316|-233764|-636729|-284767|-424221|-316997|-424113|-659706|-26427|-746958|-488842|-757053|-991803|-754114|-408094|,-570379|-134628|-95642|-122335|-42858|-332115|-397335|-559047|-757507|-885104|-421972|-597503|-930304|-730924|-959737|,1047,257941,7966,1047,50055046048049000000000000000000000000001043,53048048053052046055055000000000000000001043,48046048055000000000000000000000000000001043,48046048056000000000000000000000000000001043,66000000000000000000000000000000000000001043,71000000000000000000000000000000000000001043,49057057052045048049045049055000000000001043,49057057051045049049045050051000000000001043,49057057052045048049045050052000000000001043,68069076073086069082032073078032080069083127,83072073081000000000000000000000000000001043,110097108032102111120101115032119097107102090,10
